C_ID,C_EquipmentSpend,C_ApparelSpend,C_FootwearSpend,C_Gender,C_Age,C_State,C_Area,C_DeviceType,C_ShoppingCart,C_EmailAd,C_ShoppingDuration,C_TimeOfShopping,C_Number_of_Orders,C_Reviews,C_OrderToDelivery,C_Payment,App_Discounts,App_Tenure,App_Referral
CXAUQ_668,500,159,409,M,30,NSW,Rural,Phone_Android,App,Weekly,23,12:00 PM - 6:00 PM,5,1,4,Card,Y,5,0
CXAUQ_543,1050,111,0,F,45,QLD,Urban,Phone_iOS,Browser,Weekly,31,12:00 PM - 6:00 PM,7,4,4,BNPL,N,0,0
CXAUQ_2861,1200,175,0,M,51,NSW,Rural,Tablet_iOS,Browser,Daily,7,6:00 PM - 12:00 AM,7,5,4,BNPL,N,0,0
CXAUQ_1771,40,250,407,F,22,WA,Urban,Phone_Android,App,Monthly,22,6:00 PM - 12:00 AM,4,2,1,BNPL,Y,25,0
CXAUQ_902,950,166,467,F,56,VIC,Urban,Phone_Android,Browser,Weekly,6,12:00 AM - 6:00 AM,12,5,4,Card,N,0,0
CXAUQ_2814,950,80,108,M,48,NSW,Urban,Tablet_Android,Browser,Daily,17,6:00 PM - 12:00 AM,11,3,4,BNPL,N,0,0
CXAUQ_2792,40,104,451,M,28,QLD,Rural,Phone_iOS,Browser,Weekly,18,6:00 PM - 12:00 AM,5,3,4,eWallet,N,0,0
CXAUQ_1079,40,253,497,M,23,SA,Urban,Tablet_Android,Browser,Weekly,48,12:00 AM - 6:00 AM,2,2,2,BNPL,N,0,0
CXAUQ_1769,1000,101,383,M,55,NSW,Rural,Tablet_iOS,App,Daily,50,6:00 PM - 12:00 AM,7,3,4,BNPL,Y,2,0
CXAUQ_347,1000,175,0,M,52,TAS,Rural,Phone_Android,Browser,Monthly,13,12:00 PM - 6:00 PM,7,4,4,BNPL,N,0,0
CXAUQ_1064,40,156,83,M,22,VIC,Urban,Tablet_iOS,App,Monthly,7,12:00 AM - 6:00 AM,1,2,3,eWallet,Y,26,0
CXAUQ_645,1200,163,0,F,41,SA,Rural,Phone_iOS,Browser,Monthly,5,12:00 PM - 6:00 PM,4,5,4,eWallet,N,0,0
CXAUQ_2306,40,50,401,M,25,TAS,Rural,Tablet_iOS,App,Daily,58,6:00 AM - 12:00 PM,1,4,3,BNPL,Y,20,0
CXAUQ_1024,350,112,276,M,35,SA,Urban,Phone_iOS,Browser,Weekly,0,12:00 AM - 6:00 AM,4,1,1,BNPL,N,0,0
CXAUQ_307,40,50,0,M,24,NSW,Urban,Phone_iOS,Browser,Weekly,31,12:00 PM - 6:00 PM,1,1,3,eWallet,N,0,0
CXAUQ_1145,40,114,202,M,38,NSW,Urban,Phone_iOS,Browser,Monthly,53,12:00 AM - 6:00 AM,6,2,1,BNPL,N,0,0
CXAUQ_2625,1250,161,235,F,52,VIC,Rural,Tablet_Android,Browser,Weekly,18,6:00 PM - 12:00 AM,2,5,4,BNPL,N,0,0
CXAUQ_862,450,81,271,M,57,SA,Urban,Phone_iOS,Browser,Weekly,53,12:00 AM - 6:00 AM,3,4,4,Card,N,0,0
CXAUQ_805,40,220,285,M,43,VIC,Urban,Tablet_Android,Browser,Daily,32,12:00 AM - 6:00 AM,1,4,3,Card,N,0,0
CXAUQ_2293,1000,76,297,F,51,VIC,Urban,Phone_iOS,Browser,Weekly,40,6:00 AM - 12:00 PM,10,2,4,BNPL,N,0,0
CXAUQ_1460,1300,230,40,F,47,NSW,Urban,Phone_Android,App,Weekly,13,6:00 PM - 12:00 AM,3,4,4,eWallet,Y,10,0
CXAUQ_2422,40,271,50,M,25,NSW,Urban,Phone_iOS,Browser,Daily,30,6:00 AM - 12:00 PM,1,2,3,eWallet,N,0,0
CXAUQ_2467,300,50,346,F,22,NSW,Urban,Phone_iOS,Browser,Weekly,6,6:00 PM - 12:00 AM,6,3,3,Card,N,0,0
CXAUQ_718,950,207,0,F,53,NSW,Urban,Tablet_Android,Browser,Weekly,53,12:00 PM - 6:00 PM,14,3,4,eWallet,N,0,0
CXAUQ_1574,1300,218,402,F,45,NSW,Urban,Tablet_Android,Browser,Daily,52,6:00 PM - 12:00 AM,13,4,4,BNPL,N,0,0
CXAUQ_2460,40,286,40,M,54,VIC,Rural,Tablet_Android,App,Daily,11,6:00 PM - 12:00 AM,4,5,4,eWallet,Y,13,0
CXAUQ_1035,40,238,40,M,23,VIC,Urban,Phone_iOS,Browser,Daily,48,12:00 AM - 6:00 AM,4,3,3,eWallet,N,0,0
CXAUQ_1180,40,50,325,M,39,VIC,Urban,Phone_iOS,Browser,Monthly,51,12:00 AM - 6:00 AM,3,2,2,BNPL,N,0,0
CXAUQ_673,700,87,394,M,36,NSW,Rural,Phone_iOS,Browser,Daily,34,12:00 PM - 6:00 PM,4,2,4,Card,N,0,0
CXAUQ_1883,40,165,384,F,35,VIC,Urban,Phone_iOS,App,Daily,60,6:00 AM - 12:00 PM,2,2,2,BNPL,Y,23,0
CXAUQ_366,750,197,0,F,45,NSW,Urban,Tablet_iOS,Browser,Daily,34,12:00 PM - 6:00 PM,1,1,4,BNPL,N,0,0
CXAUQ_2005,500,107,147,M,43,ACT,Rural,Phone_iOS,Browser,Monthly,51,6:00 AM - 12:00 PM,3,3,4,eWallet,N,0,0
CXAUQ_883,40,83,42,F,26,QLD,Urban,Phone_iOS,App,Daily,6,12:00 AM - 6:00 AM,1,0,3,eWallet,Y,3,0
CXAUQ_1245,500,50,336,M,27,TAS,Urban,Phone_Android,Browser,Weekly,12,12:00 AM - 6:00 AM,5,2,4,BNPL,N,0,0
CXAUQ_1433,40,69,211,F,59,NT,Urban,Tablet_iOS,Browser,Daily,51,6:00 PM - 12:00 AM,1,1,2,BNPL,N,0,0
CXAUQ_820,300,134,217,F,24,QLD,Urban,Phone_iOS,Browser,Monthly,41,12:00 AM - 6:00 AM,2,5,3,eWallet,N,0,0
CXAUQ_2691,950,63,40,M,50,SA,Rural,Tablet_Android,Browser,Monthly,23,6:00 PM - 12:00 AM,4,5,4,BNPL,N,0,0
CXAUQ_2001,40,58,390,F,42,VIC,Urban,Phone_iOS,Browser,Weekly,58,6:00 AM - 12:00 PM,1,2,2,BNPL,N,0,0
CXAUQ_2155,40,50,389,F,38,NT,Urban,Tablet_iOS,Browser,Daily,18,6:00 AM - 12:00 PM,3,2,1,BNPL,N,0,0
CXAUQ_2563,40,263,71,F,29,WA,Rural,Tablet_iOS,Browser,Weekly,13,6:00 PM - 12:00 AM,6,1,4,eWallet,N,0,0
CXAUQ_2042,1300,131,401,M,46,NT,Urban,Tablet_Android,Browser,Monthly,4,6:00 AM - 12:00 PM,11,5,4,BNPL,N,0,0
CXAUQ_1294,40,50,362,M,20,VIC,Urban,Phone_iOS,App,Daily,3,6:00 PM - 12:00 AM,1,4,1,BNPL,Y,29,1
CXAUQ_1278,1050,50,62,M,52,WA,Urban,Tablet_Android,Browser,Weekly,60,6:00 PM - 12:00 AM,8,5,4,eWallet,N,0,0
CXAUQ_116,40,90,66,F,48,TAS,Urban,Phone_iOS,Browser,Daily,20,12:00 PM - 6:00 PM,1,1,3,eWallet,N,0,0
CXAUQ_723,750,53,402,M,34,WA,Rural,Phone_iOS,App,Monthly,1,12:00 PM - 6:00 PM,5,2,4,eWallet,Y,24,2
CXAUQ_1209,550,78,40,F,34,NT,Urban,Phone_Android,Browser,Weekly,31,12:00 AM - 6:00 AM,5,1,4,eWallet,N,0,0
CXAUQ_2192,40,104,240,F,36,NSW,Rural,Phone_iOS,Browser,Daily,28,6:00 AM - 12:00 PM,1,1,3,BNPL,N,0,0
